feature_set,iteration,fold,class_label,precision,recall,f1
understand追加前 (excl3),1,1,クラス0(=FALSE),1.0,1.0,1.0
understand追加前 (excl3),1,1,クラス1(=TRUE),1.0,1.0,1.0
understand追加前 (excl3),1,2,クラス0(=FALSE),0.8,0.8,0.8
understand追加前 (excl3),1,2,クラス1(=TRUE),0.8333333333333334,0.8333333333333334,0.8333333333333334
understand追加前 (excl3),1,3,クラス0(=FALSE),1.0,0.8,0.8888888888888888
understand追加前 (excl3),1,3,クラス1(=TRUE),0.8571428571428571,1.0,0.9230769230769231
understand追加前 (excl3),1,4,クラス0(=FALSE),1.0,0.6,0.75
understand追加前 (excl3),1,4,クラス1(=TRUE),0.75,1.0,0.8571428571428571
understand追加前 (excl3),1,5,クラス0(=FALSE),1.0,0.8,0.8888888888888888
understand追加前 (excl3),1,5,クラス1(=TRUE),0.8571428571428571,1.0,0.9230769230769231
understand追加前 (excl3),1,6,クラス0(=FALSE),0.8333333333333334,0.8333333333333334,0.8333333333333334
understand追加前 (excl3),1,6,クラス1(=TRUE),0.8,0.8,0.8
understand追加前 (excl3),1,7,クラス0(=FALSE),0.8,0.6666666666666666,0.7272727272727273
understand追加前 (excl3),1,7,クラス1(=TRUE),0.6666666666666666,0.8,0.7272727272727273
understand追加前 (excl3),1,8,クラス0(=FALSE),0.8,0.6666666666666666,0.7272727272727273
understand追加前 (excl3),1,8,クラス1(=TRUE),0.6666666666666666,0.8,0.7272727272727273
understand追加前 (excl3),1,9,クラス0(=FALSE),1.0,0.5,0.6666666666666666
understand追加前 (excl3),1,9,クラス1(=TRUE),0.625,1.0,0.7692307692307693
understand追加前 (excl3),1,10,クラス0(=FALSE),0.6666666666666666,0.6666666666666666,0.6666666666666666
understand追加前 (excl3),1,10,クラス1(=TRUE),0.6,0.6,0.6
understand追加前 (excl3),iteration_1,avg_of_10folds,クラス0(FALSE),0.89,0.7333333333333334,0.79489898989899
understand追加前 (excl3),iteration_1,avg_of_10folds,クラス1(TRUE),0.7655952380952381,0.8833333333333334,0.816040626040626
understand追加前 (excl3),2,1,クラス0(=FALSE),0.5,0.6,0.5454545454545454
understand追加前 (excl3),2,1,クラス1(=TRUE),0.6,0.5,0.5454545454545454
understand追加前 (excl3),2,2,クラス0(=FALSE),0.5714285714285714,0.8,0.6666666666666666
understand追加前 (excl3),2,2,クラス1(=TRUE),0.75,0.5,0.6
understand追加前 (excl3),2,3,クラス0(=FALSE),1.0,0.6,0.75
understand追加前 (excl3),2,3,クラス1(=TRUE),0.75,1.0,0.8571428571428571
understand追加前 (excl3),2,4,クラス0(=FALSE),1.0,0.8,0.8888888888888888
understand追加前 (excl3),2,4,クラス1(=TRUE),0.8571428571428571,1.0,0.9230769230769231
understand追加前 (excl3),2,5,クラス0(=FALSE),0.8333333333333334,1.0,0.9090909090909091
understand追加前 (excl3),2,5,クラス1(=TRUE),1.0,0.8333333333333334,0.9090909090909091
understand追加前 (excl3),2,6,クラス0(=FALSE),1.0,0.6666666666666666,0.8
understand追加前 (excl3),2,6,クラス1(=TRUE),0.7142857142857143,1.0,0.8333333333333334
understand追加前 (excl3),2,7,クラス0(=FALSE),1.0,0.8333333333333334,0.9090909090909091
understand追加前 (excl3),2,7,クラス1(=TRUE),0.8333333333333334,1.0,0.9090909090909091
understand追加前 (excl3),2,8,クラス0(=FALSE),1.0,1.0,1.0
understand追加前 (excl3),2,8,クラス1(=TRUE),1.0,1.0,1.0
understand追加前 (excl3),2,9,クラス0(=FALSE),1.0,0.6666666666666666,0.8
understand追加前 (excl3),2,9,クラス1(=TRUE),0.7142857142857143,1.0,0.8333333333333334
understand追加前 (excl3),2,10,クラス0(=FALSE),0.8571428571428571,1.0,0.9230769230769231
understand追加前 (excl3),2,10,クラス1(=TRUE),1.0,0.8,0.8888888888888888
