feature_set,iteration,fold,class_label,precision,recall,f1
understand追加前 (excl3),iteration_1,avg_of_10folds,クラス0(FALSE),0.6866666666666666,0.6583333333333333,0.6265873015873016
understand追加前 (excl3),iteration_1,avg_of_10folds,クラス1(TRUE),0.7695238095238095,0.7583333333333333,0.7045238095238096
understand追加前 (excl3),iteration_2,avg_of_10folds,クラス0(FALSE),0.7766666666666666,0.7333333333333333,0.7221428571428571
understand追加前 (excl3),iteration_2,avg_of_10folds,クラス1(TRUE),0.7538095238095238,0.75,0.7330447330447329
understand追加前 (excl3),iteration_3,avg_of_10folds,クラス0(FALSE),0.7083333333333333,0.6666666666666666,0.6714285714285714
understand追加前 (excl3),iteration_3,avg_of_10folds,クラス1(TRUE),0.7366666666666667,0.7333333333333333,0.7087301587301587
understand追加前 (excl3),iteration_4,avg_of_10folds,クラス0(FALSE),0.8083333333333332,0.7916666666666666,0.7892857142857144
understand追加前 (excl3),iteration_4,avg_of_10folds,クラス1(TRUE),0.8316666666666667,0.8,0.7948412698412698
understand追加前 (excl3),iteration_5,avg_of_10folds,クラス0(FALSE),0.7716666666666667,0.6166666666666666,0.6453174603174603
understand追加前 (excl3),iteration_5,avg_of_10folds,クラス1(TRUE),0.7233333333333334,0.7749999999999999,0.7153174603174602
understand追加前 (excl3),iteration_6,avg_of_10folds,クラス0(FALSE),0.6383333333333333,0.5583333333333333,0.5734126984126984
understand追加前 (excl3),iteration_6,avg_of_10folds,クラス1(TRUE),0.6566666666666667,0.725,0.6769047619047619
understand追加前 (excl3),iteration_7,avg_of_10folds,クラス0(FALSE),0.7566666666666666,0.725,0.7196031746031746
understand追加前 (excl3),iteration_7,avg_of_10folds,クラス1(TRUE),0.7333333333333334,0.7166666666666667,0.7018253968253968
understand追加前 (excl3),iteration_8,avg_of_10folds,クラス0(FALSE),0.745,0.775,0.7404761904761904
understand追加前 (excl3),iteration_8,avg_of_10folds,クラス1(TRUE),0.8183333333333334,0.7916666666666666,0.7826190476190475
understand追加前 (excl3),iteration_9,avg_of_10folds,クラス0(FALSE),0.7733333333333333,0.8083333333333332,0.7769841269841271
understand追加前 (excl3),iteration_9,avg_of_10folds,クラス1(TRUE),0.8166666666666667,0.75,0.7719047619047619
understand追加前 (excl3),iteration_10,avg_of_10folds,クラス0(FALSE),0.8816666666666666,0.7583333333333333,0.7917460317460318
understand追加前 (excl3),iteration_10,avg_of_10folds,クラス1(TRUE),0.79,0.8583333333333334,0.8058730158730159
understand追加前 (excl3),final_average,-,クラス0(FALSE),0.7546666666666667,0.7091666666666667,0.7056984126984126
understand追加前 (excl3),final_average,-,クラス1(TRUE),0.763,0.7658333333333334,0.7395584415584414
understand追加前 (merge3_4),iteration_1,avg_of_10folds,クラス0(FALSE),0.8766666666666666,0.7166666666666666,0.7607142857142856
understand追加前 (merge3_4),iteration_1,avg_of_10folds,クラス1(TRUE),0.76,0.8666666666666666,0.7873809523809523
understand追加前 (merge3_4),iteration_2,avg_of_10folds,クラス0(FALSE),0.7883333333333333,0.6833333333333333,0.7043650793650794
understand追加前 (merge3_4),iteration_2,avg_of_10folds,クラス1(TRUE),0.74,0.7833333333333333,0.7453174603174604
understand追加前 (merge3_4),iteration_3,avg_of_10folds,クラス0(FALSE),0.7516666666666667,0.7166666666666666,0.6975396825396827
understand追加前 (merge3_4),iteration_3,avg_of_10folds,クラス1(TRUE),0.7838095238095237,0.7583333333333333,0.7515367965367965
understand追加前 (merge3_4),iteration_4,avg_of_10folds,クラス0(FALSE),0.7533333333333333,0.6583333333333333,0.6847619047619047
understand追加前 (merge3_4),iteration_4,avg_of_10folds,クラス1(TRUE),0.6216666666666667,0.7083333333333333,0.6523015873015872
understand追加前 (merge3_4),iteration_5,avg_of_10folds,クラス0(FALSE),0.7966666666666666,0.75,0.7591269841269842
understand追加前 (merge3_4),iteration_5,avg_of_10folds,クラス1(TRUE),0.7566666666666666,0.775,0.7534126984126984
understand追加前 (merge3_4),iteration_6,avg_of_10folds,クラス0(FALSE),0.7266666666666667,0.5833333333333333,0.6247619047619049
understand追加前 (merge3_4),iteration_6,avg_of_10folds,クラス1(TRUE),0.6433333333333333,0.75,0.676984126984127
understand追加前 (merge3_4),iteration_7,avg_of_10folds,クラス0(FALSE),0.8233333333333335,0.7583333333333333,0.7679365079365079
understand追加前 (merge3_4),iteration_7,avg_of_10folds,クラス1(TRUE),0.7516666666666666,0.775,0.7440476190476191
understand追加前 (merge3_4),iteration_8,avg_of_10folds,クラス0(FALSE),0.8033333333333333,0.7083333333333333,0.7138095238095238
understand追加前 (merge3_4),iteration_8,avg_of_10folds,クラス1(TRUE),0.7483333333333333,0.7916666666666666,0.7424603174603174
understand追加前 (merge3_4),iteration_9,avg_of_10folds,クラス0(FALSE),0.8350000000000002,0.7083333333333333,0.7399206349206349
understand追加前 (merge3_4),iteration_9,avg_of_10folds,クラス1(TRUE),0.78,0.825,0.7884126984126983
understand追加前 (merge3_4),iteration_10,avg_of_10folds,クラス0(FALSE),0.8233333333333333,0.725,0.738968253968254
understand追加前 (merge3_4),iteration_10,avg_of_10folds,クラス1(TRUE),0.7316666666666667,0.7666666666666666,0.7284126984126984
understand追加前 (merge3_4),final_average,-,クラス0(FALSE),0.7978333333333334,0.7008333333333332,0.7191904761904763
understand追加前 (merge3_4),final_average,-,クラス1(TRUE),0.7317142857142857,0.78,0.7370266955266954
understand追加後 (excl3),iteration_1,avg_of_10folds,クラス0(FALSE),0.8433333333333334,0.75,0.7646825396825395
understand追加後 (excl3),iteration_1,avg_of_10folds,クラス1(TRUE),0.8033333333333333,0.8333333333333333,0.8004761904761905
